ticks per second: 1.0
[MESSAGE RECEIVED] | Global Time - 02:35:58.728308 | Queue Length - 1 | Clock Time - 3
[MESSAGE RECEIVED] | Global Time - 02:35:59.732770 | Queue Length - 5 | Clock Time - 5
[MESSAGE RECEIVED] | Global Time - 02:36:00.736398 | Queue Length - 8 | Clock Time - 6
[MESSAGE RECEIVED] | Global Time - 02:36:01.741279 | Queue Length - 11 | Clock Time - 7
[MESSAGE RECEIVED] | Global Time - 02:36:02.747704 | Queue Length - 11 | Clock Time - 8
[MESSAGE RECEIVED] | Global Time - 02:36:03.753707 | Queue Length - 13 | Clock Time - 9
[MESSAGE RECEIVED] | Global Time - 02:36:04.758855 | Queue Length - 16 | Clock Time - 10
[MESSAGE RECEIVED] | Global Time - 02:36:05.764854 | Queue Length - 19 | Clock Time - 11
[MESSAGE RECEIVED] | Global Time - 02:36:06.771356 | Queue Length - 20 | Clock Time - 12
[MESSAGE RECEIVED] | Global Time - 02:36:07.777756 | Queue Length - 22 | Clock Time - 14
[MESSAGE RECEIVED] | Global Time - 02:36:08.781412 | Queue Length - 24 | Clock Time - 15
[MESSAGE RECEIVED] | Global Time - 02:36:09.785225 | Queue Length - 24 | Clock Time - 16
[MESSAGE RECEIVED] | Global Time - 02:36:10.791491 | Queue Length - 25 | Clock Time - 17
[MESSAGE RECEIVED] | Global Time - 02:36:11.795423 | Queue Length - 26 | Clock Time - 18
[MESSAGE RECEIVED] | Global Time - 02:36:12.801593 | Queue Length - 27 | Clock Time - 19
[MESSAGE RECEIVED] | Global Time - 02:36:13.807668 | Queue Length - 28 | Clock Time - 22
[MESSAGE RECEIVED] | Global Time - 02:36:14.811523 | Queue Length - 27 | Clock Time - 28
[MESSAGE RECEIVED] | Global Time - 02:36:15.817920 | Queue Length - 29 | Clock Time - 29
[MESSAGE RECEIVED] | Global Time - 02:36:16.821785 | Queue Length - 29 | Clock Time - 30
[MESSAGE RECEIVED] | Global Time - 02:36:17.826360 | Queue Length - 30 | Clock Time - 31
[MESSAGE RECEIVED] | Global Time - 02:36:18.831617 | Queue Length - 32 | Clock Time - 32
[MESSAGE RECEIVED] | Global Time - 02:36:19.836981 | Queue Length - 32 | Clock Time - 33
[MESSAGE RECEIVED] | Global Time - 02:36:20.841779 | Queue Length - 33 | Clock Time - 35
[MESSAGE RECEIVED] | Global Time - 02:36:21.843971 | Queue Length - 36 | Clock Time - 36
[MESSAGE RECEIVED] | Global Time - 02:36:22.847531 | Queue Length - 36 | Clock Time - 37
[MESSAGE RECEIVED] | Global Time - 02:36:23.852406 | Queue Length - 36 | Clock Time - 39
[MESSAGE RECEIVED] | Global Time - 02:36:24.856393 | Queue Length - 36 | Clock Time - 40
[MESSAGE RECEIVED] | Global Time - 02:36:25.861631 | Queue Length - 38 | Clock Time - 41
[MESSAGE RECEIVED] | Global Time - 02:36:26.865732 | Queue Length - 38 | Clock Time - 43
[MESSAGE RECEIVED] | Global Time - 02:36:27.871713 | Queue Length - 38 | Clock Time - 46
[MESSAGE RECEIVED] | Global Time - 02:36:28.877592 | Queue Length - 40 | Clock Time - 47
[MESSAGE RECEIVED] | Global Time - 02:36:29.881738 | Queue Length - 42 | Clock Time - 49
[MESSAGE RECEIVED] | Global Time - 02:36:30.886072 | Queue Length - 43 | Clock Time - 50
[MESSAGE RECEIVED] | Global Time - 02:36:31.888193 | Queue Length - 45 | Clock Time - 52
[MESSAGE RECEIVED] | Global Time - 02:36:32.893882 | Queue Length - 46 | Clock Time - 53
[MESSAGE RECEIVED] | Global Time - 02:36:33.896182 | Queue Length - 47 | Clock Time - 56
[MESSAGE RECEIVED] | Global Time - 02:36:34.901961 | Queue Length - 48 | Clock Time - 60
[MESSAGE RECEIVED] | Global Time - 02:36:35.907414 | Queue Length - 47 | Clock Time - 64
[MESSAGE RECEIVED] | Global Time - 02:36:36.911733 | Queue Length - 50 | Clock Time - 66
[MESSAGE RECEIVED] | Global Time - 02:36:37.913556 | Queue Length - 53 | Clock Time - 67
[MESSAGE RECEIVED] | Global Time - 02:36:38.918547 | Queue Length - 54 | Clock Time - 71
[MESSAGE RECEIVED] | Global Time - 02:36:39.923490 | Queue Length - 54 | Clock Time - 74
[MESSAGE RECEIVED] | Global Time - 02:36:40.929624 | Queue Length - 55 | Clock Time - 75
[MESSAGE RECEIVED] | Global Time - 02:36:41.932025 | Queue Length - 55 | Clock Time - 79
[MESSAGE RECEIVED] | Global Time - 02:36:42.938269 | Queue Length - 56 | Clock Time - 85
[MESSAGE RECEIVED] | Global Time - 02:36:43.942907 | Queue Length - 57 | Clock Time - 88
[MESSAGE RECEIVED] | Global Time - 02:36:44.944804 | Queue Length - 58 | Clock Time - 89
[MESSAGE RECEIVED] | Global Time - 02:36:45.949812 | Queue Length - 61 | Clock Time - 91
[MESSAGE RECEIVED] | Global Time - 02:36:46.955209 | Queue Length - 61 | Clock Time - 95
[MESSAGE RECEIVED] | Global Time - 02:36:47.962042 | Queue Length - 65 | Clock Time - 98
[MESSAGE RECEIVED] | Global Time - 02:36:48.967841 | Queue Length - 64 | Clock Time - 101
[MESSAGE RECEIVED] | Global Time - 02:36:49.973581 | Queue Length - 65 | Clock Time - 102
[MESSAGE RECEIVED] | Global Time - 02:36:50.980056 | Queue Length - 66 | Clock Time - 103
[MESSAGE RECEIVED] | Global Time - 02:36:51.985512 | Queue Length - 67 | Clock Time - 107
[MESSAGE RECEIVED] | Global Time - 02:36:52.992015 | Queue Length - 70 | Clock Time - 110
[MESSAGE RECEIVED] | Global Time - 02:36:53.997765 | Queue Length - 71 | Clock Time - 113
[MESSAGE RECEIVED] | Global Time - 02:36:55.001998 | Queue Length - 72 | Clock Time - 114
[MESSAGE RECEIVED] | Global Time - 02:36:56.005405 | Queue Length - 72 | Clock Time - 115
[MESSAGE RECEIVED] | Global Time - 02:36:57.010006 | Queue Length - 73 | Clock Time - 116
[MESSAGE RECEIVED] | Global Time - 02:36:58.015584 | Queue Length - 75 | Clock Time - 118
[MESSAGE RECEIVED] | Global Time - 02:36:59.016947 | Queue Length - 78 | Clock Time - 120
[MESSAGE RECEIVED] | Global Time - 02:37:00.022195 | Queue Length - 78 | Clock Time - 125
[MESSAGE RECEIVED] | Global Time - 02:37:01.027979 | Queue Length - 78 | Clock Time - 131
[MESSAGE RECEIVED] | Global Time - 02:37:02.032377 | Queue Length - 79 | Clock Time - 135
[MESSAGE RECEIVED] | Global Time - 02:37:03.039539 | Queue Length - 83 | Clock Time - 137
[MESSAGE RECEIVED] | Global Time - 02:37:04.043563 | Queue Length - 82 | Clock Time - 138
[MESSAGE RECEIVED] | Global Time - 02:37:05.047111 | Queue Length - 84 | Clock Time - 141
