ticks per second: 5.0
[MESSAGE(S) SENT] | Global Time - 14:38:41.875482 | Receiver(s) - [0, 2] | Clock Time - 2
[MESSAGE(S) SENT] | Global Time - 14:38:42.079976 | Receiver(s) - [0, 2] | Clock Time - 3
[MESSAGE(S) SENT] | Global Time - 14:38:42.284260 | Receiver(s) - [0, 2] | Clock Time - 4
[MESSAGE(S) SENT] | Global Time - 14:38:42.488094 | Receiver(s) - [0] | Clock Time - 5
[INTERNAL] | Global Time - 14:38:42.690665 | No Messages Sent | Clock Time - 6
[MESSAGE(S) SENT] | Global Time - 14:38:42.895697 | Receiver(s) - [0, 2] | Clock Time - 7
[MESSAGE(S) SENT] | Global Time - 14:38:43.099289 | Receiver(s) - [0, 2] | Clock Time - 8
[INTERNAL] | Global Time - 14:38:43.303500 | No Messages Sent | Clock Time - 9
[INTERNAL] | Global Time - 14:38:43.505125 | No Messages Sent | Clock Time - 10
[INTERNAL] | Global Time - 14:38:43.705398 | No Messages Sent | Clock Time - 11
[INTERNAL] | Global Time - 14:38:43.906281 | No Messages Sent | Clock Time - 12
[INTERNAL] | Global Time - 14:38:44.109662 | No Messages Sent | Clock Time - 13
[MESSAGE RECEIVED] | Global Time - 14:38:44.310349 | Queue Length - 0 | Clock Time - 14
[MESSAGE RECEIVED] | Global Time - 14:38:44.514281 | Queue Length - 0 | Clock Time - 15
[INTERNAL] | Global Time - 14:38:44.715358 | No Messages Sent | Clock Time - 16
[INTERNAL] | Global Time - 14:38:44.915723 | No Messages Sent | Clock Time - 17
[INTERNAL] | Global Time - 14:38:45.115913 | No Messages Sent | Clock Time - 18
[MESSAGE(S) SENT] | Global Time - 14:38:45.316303 | Receiver(s) - [0] | Clock Time - 19
[INTERNAL] | Global Time - 14:38:45.518978 | No Messages Sent | Clock Time - 20
[INTERNAL] | Global Time - 14:38:45.719514 | No Messages Sent | Clock Time - 21
[MESSAGE(S) SENT] | Global Time - 14:38:45.920995 | Receiver(s) - [2] | Clock Time - 22
[INTERNAL] | Global Time - 14:38:46.125335 | No Messages Sent | Clock Time - 23
[INTERNAL] | Global Time - 14:38:46.330536 | No Messages Sent | Clock Time - 24
[MESSAGE(S) SENT] | Global Time - 14:38:46.530952 | Receiver(s) - [2] | Clock Time - 25
[MESSAGE RECEIVED] | Global Time - 14:38:46.731922 | Queue Length - 0 | Clock Time - 26
[INTERNAL] | Global Time - 14:38:46.936535 | No Messages Sent | Clock Time - 27
[INTERNAL] | Global Time - 14:38:47.138102 | No Messages Sent | Clock Time - 28
[INTERNAL] | Global Time - 14:38:47.338575 | No Messages Sent | Clock Time - 29
[INTERNAL] | Global Time - 14:38:47.539233 | No Messages Sent | Clock Time - 30
[INTERNAL] | Global Time - 14:38:47.739550 | No Messages Sent | Clock Time - 31
[MESSAGE(S) SENT] | Global Time - 14:38:47.954302 | Receiver(s) - [0, 2] | Clock Time - 32
[INTERNAL] | Global Time - 14:38:48.156571 | No Messages Sent | Clock Time - 33
[MESSAGE(S) SENT] | Global Time - 14:38:48.361773 | Receiver(s) - [0, 2] | Clock Time - 34
[MESSAGE(S) SENT] | Global Time - 14:38:48.584805 | Receiver(s) - [0, 2] | Clock Time - 35
[INTERNAL] | Global Time - 14:38:48.787771 | No Messages Sent | Clock Time - 36
[INTERNAL] | Global Time - 14:38:48.988011 | No Messages Sent | Clock Time - 37
[INTERNAL] | Global Time - 14:38:49.190569 | No Messages Sent | Clock Time - 38
[INTERNAL] | Global Time - 14:38:49.392597 | No Messages Sent | Clock Time - 39
[MESSAGE(S) SENT] | Global Time - 14:38:49.596748 | Receiver(s) - [0] | Clock Time - 40
[MESSAGE RECEIVED] | Global Time - 14:38:49.814779 | Queue Length - 0 | Clock Time - 41
[MESSAGE RECEIVED] | Global Time - 14:38:50.024690 | Queue Length - 0 | Clock Time - 42
[INTERNAL] | Global Time - 14:38:50.227853 | No Messages Sent | Clock Time - 43
[MESSAGE(S) SENT] | Global Time - 14:38:50.428464 | Receiver(s) - [2] | Clock Time - 44
[MESSAGE RECEIVED] | Global Time - 14:38:50.630407 | Queue Length - 0 | Clock Time - 45
