ticks per second: 2.0
[MESSAGE(S) SENT] | Global Time - 01:47:12.623345 | Receiver(s) - [0, 2] | Clock Time - 2
[INTERNAL] | Global Time - 01:47:13.129931 | No Messages Sent | Clock Time - 3
[INTERNAL] | Global Time - 01:47:13.636224 | No Messages Sent | Clock Time - 4
[INTERNAL] | Global Time - 01:47:14.142455 | No Messages Sent | Clock Time - 5
[MESSAGE RECEIVED] | Global Time - 01:47:14.647732 | Queue Length - 0 | Clock Time - 14
[MESSAGE RECEIVED] | Global Time - 01:47:15.149899 | Queue Length - 1 | Clock Time - 17
[MESSAGE RECEIVED] | Global Time - 01:47:15.655387 | Queue Length - 0 | Clock Time - 18
[INTERNAL] | Global Time - 01:47:16.161952 | No Messages Sent | Clock Time - 19
[INTERNAL] | Global Time - 01:47:16.664374 | No Messages Sent | Clock Time - 20
[INTERNAL] | Global Time - 01:47:17.171117 | No Messages Sent | Clock Time - 21
[MESSAGE RECEIVED] | Global Time - 01:47:17.676707 | Queue Length - 0 | Clock Time - 32
[MESSAGE RECEIVED] | Global Time - 01:47:18.179437 | Queue Length - 0 | Clock Time - 36
[INTERNAL] | Global Time - 01:47:18.683831 | No Messages Sent | Clock Time - 37
[MESSAGE RECEIVED] | Global Time - 01:47:19.189736 | Queue Length - 1 | Clock Time - 40
[MESSAGE RECEIVED] | Global Time - 01:47:19.694131 | Queue Length - 0 | Clock Time - 41
[MESSAGE(S) SENT] | Global Time - 01:47:20.199503 | Receiver(s) - [2] | Clock Time - 42
[MESSAGE(S) SENT] | Global Time - 01:47:20.703889 | Receiver(s) - [2] | Clock Time - 43
[INTERNAL] | Global Time - 01:47:21.205885 | No Messages Sent | Clock Time - 44
[MESSAGE(S) SENT] | Global Time - 01:47:21.711073 | Receiver(s) - [0, 2] | Clock Time - 45
[MESSAGE(S) SENT] | Global Time - 01:47:22.217443 | Receiver(s) - [2] | Clock Time - 46
[MESSAGE(S) SENT] | Global Time - 01:47:22.720512 | Receiver(s) - [0, 2] | Clock Time - 47
[MESSAGE RECEIVED] | Global Time - 01:47:23.225305 | Queue Length - 0 | Clock Time - 60
[MESSAGE RECEIVED] | Global Time - 01:47:23.732195 | Queue Length - 0 | Clock Time - 67
[MESSAGE RECEIVED] | Global Time - 01:47:24.237864 | Queue Length - 0 | Clock Time - 71
[INTERNAL] | Global Time - 01:47:24.743674 | No Messages Sent | Clock Time - 72
[INTERNAL] | Global Time - 01:47:25.249213 | No Messages Sent | Clock Time - 73
[MESSAGE RECEIVED] | Global Time - 01:47:25.754661 | Queue Length - 0 | Clock Time - 79
[MESSAGE RECEIVED] | Global Time - 01:47:26.257057 | Queue Length - 1 | Clock Time - 81
[MESSAGE RECEIVED] | Global Time - 01:47:26.761863 | Queue Length - 1 | Clock Time - 83
[MESSAGE RECEIVED] | Global Time - 01:47:27.264700 | Queue Length - 0 | Clock Time - 84
[MESSAGE RECEIVED] | Global Time - 01:47:27.766986 | Queue Length - 1 | Clock Time - 90
[MESSAGE RECEIVED] | Global Time - 01:47:28.269210 | Queue Length - 1 | Clock Time - 91
[MESSAGE RECEIVED] | Global Time - 01:47:28.773208 | Queue Length - 1 | Clock Time - 93
[MESSAGE RECEIVED] | Global Time - 01:47:29.276480 | Queue Length - 0 | Clock Time - 94
[MESSAGE RECEIVED] | Global Time - 01:47:29.779569 | Queue Length - 0 | Clock Time - 103
[INTERNAL] | Global Time - 01:47:30.285830 | No Messages Sent | Clock Time - 104
[MESSAGE RECEIVED] | Global Time - 01:47:30.789460 | Queue Length - 0 | Clock Time - 109
[MESSAGE RECEIVED] | Global Time - 01:47:31.295066 | Queue Length - 0 | Clock Time - 110
[MESSAGE RECEIVED] | Global Time - 01:47:31.800782 | Queue Length - 0 | Clock Time - 115
[MESSAGE RECEIVED] | Global Time - 01:47:32.304994 | Queue Length - 1 | Clock Time - 116
[MESSAGE RECEIVED] | Global Time - 01:47:32.810596 | Queue Length - 1 | Clock Time - 117
[MESSAGE RECEIVED] | Global Time - 01:47:33.313194 | Queue Length - 0 | Clock Time - 118
[MESSAGE RECEIVED] | Global Time - 01:47:33.819103 | Queue Length - 1 | Clock Time - 125
[MESSAGE RECEIVED] | Global Time - 01:47:34.320947 | Queue Length - 3 | Clock Time - 126
[MESSAGE RECEIVED] | Global Time - 01:47:34.826030 | Queue Length - 3 | Clock Time - 128
[MESSAGE RECEIVED] | Global Time - 01:47:35.328482 | Queue Length - 3 | Clock Time - 129
[MESSAGE RECEIVED] | Global Time - 01:47:35.834924 | Queue Length - 2 | Clock Time - 130
