ticks per second: 6.0
[INTERNAL] | Global Time - 02:44:24.099573 | No Messages Sent | Clock Time - 2
[INTERNAL] | Global Time - 02:44:24.273093 | No Messages Sent | Clock Time - 3
[MESSAGE RECEIVED] | Global Time - 02:44:24.441912 | Queue Length - 0 | Clock Time - 4
[MESSAGE(S) SENT] | Global Time - 02:44:24.614045 | Receiver(s) - [0, 1] | Clock Time - 5
[INTERNAL] | Global Time - 02:44:24.785691 | No Messages Sent | Clock Time - 6
[INTERNAL] | Global Time - 02:44:24.957415 | No Messages Sent | Clock Time - 7
[INTERNAL] | Global Time - 02:44:25.129254 | No Messages Sent | Clock Time - 8
[INTERNAL] | Global Time - 02:44:25.301639 | No Messages Sent | Clock Time - 9
[INTERNAL] | Global Time - 02:44:25.473262 | No Messages Sent | Clock Time - 10
[INTERNAL] | Global Time - 02:44:25.643404 | No Messages Sent | Clock Time - 11
[MESSAGE(S) SENT] | Global Time - 02:44:25.816397 | Receiver(s) - [0, 1] | Clock Time - 12
[INTERNAL] | Global Time - 02:44:25.988573 | No Messages Sent | Clock Time - 13
[INTERNAL] | Global Time - 02:44:26.160850 | No Messages Sent | Clock Time - 14
[MESSAGE RECEIVED] | Global Time - 02:44:26.329689 | Queue Length - 0 | Clock Time - 15
[INTERNAL] | Global Time - 02:44:26.498626 | No Messages Sent | Clock Time - 16
[INTERNAL] | Global Time - 02:44:26.669392 | No Messages Sent | Clock Time - 17
[INTERNAL] | Global Time - 02:44:26.839584 | No Messages Sent | Clock Time - 18
[MESSAGE(S) SENT] | Global Time - 02:44:27.011105 | Receiver(s) - [0] | Clock Time - 19
[INTERNAL] | Global Time - 02:44:27.195461 | No Messages Sent | Clock Time - 20
[INTERNAL] | Global Time - 02:44:27.367514 | No Messages Sent | Clock Time - 21
[INTERNAL] | Global Time - 02:44:27.539357 | No Messages Sent | Clock Time - 22
[INTERNAL] | Global Time - 02:44:27.709645 | No Messages Sent | Clock Time - 23
[INTERNAL] | Global Time - 02:44:27.880917 | No Messages Sent | Clock Time - 24
[INTERNAL] | Global Time - 02:44:28.052505 | No Messages Sent | Clock Time - 25
[INTERNAL] | Global Time - 02:44:28.224294 | No Messages Sent | Clock Time - 26
[INTERNAL] | Global Time - 02:44:28.395868 | No Messages Sent | Clock Time - 27
[INTERNAL] | Global Time - 02:44:28.567116 | No Messages Sent | Clock Time - 28
[INTERNAL] | Global Time - 02:44:28.739150 | No Messages Sent | Clock Time - 29
[MESSAGE RECEIVED] | Global Time - 02:44:28.910485 | Queue Length - 0 | Clock Time - 30
[INTERNAL] | Global Time - 02:44:29.082463 | No Messages Sent | Clock Time - 31
[INTERNAL] | Global Time - 02:44:29.253169 | No Messages Sent | Clock Time - 32
