ticks per second: 3.0
[MESSAGE(S) SENT] | Global Time - 01:43:09.014272 | Receiver(s) - [1] | Clock Time - 2
[MESSAGE RECEIVED] | Global Time - 01:43:09.353319 | Queue Length - 0 | Clock Time - 3
[MESSAGE RECEIVED] | Global Time - 01:43:09.692143 | Queue Length - 0 | Clock Time - 5
[INTERNAL] | Global Time - 01:43:10.029997 | No Messages Sent | Clock Time - 6
[MESSAGE RECEIVED] | Global Time - 01:43:10.368403 | Queue Length - 0 | Clock Time - 9
[MESSAGE RECEIVED] | Global Time - 01:43:10.705429 | Queue Length - 0 | Clock Time - 12
[INTERNAL] | Global Time - 01:43:11.044836 | No Messages Sent | Clock Time - 13
[INTERNAL] | Global Time - 01:43:11.383390 | No Messages Sent | Clock Time - 14
[MESSAGE(S) SENT] | Global Time - 01:43:11.722115 | Receiver(s) - [1] | Clock Time - 15
[INTERNAL] | Global Time - 01:43:12.057966 | No Messages Sent | Clock Time - 16
[MESSAGE(S) SENT] | Global Time - 01:43:12.393159 | Receiver(s) - [0, 1] | Clock Time - 17
[MESSAGE(S) SENT] | Global Time - 01:43:12.733125 | Receiver(s) - [0, 1] | Clock Time - 18
[INTERNAL] | Global Time - 01:43:13.071119 | No Messages Sent | Clock Time - 19
[MESSAGE RECEIVED] | Global Time - 01:43:13.407691 | Queue Length - 0 | Clock Time - 28
[INTERNAL] | Global Time - 01:43:13.744165 | No Messages Sent | Clock Time - 29
[MESSAGE RECEIVED] | Global Time - 01:43:14.081644 | Queue Length - 1 | Clock Time - 31
[MESSAGE RECEIVED] | Global Time - 01:43:14.420501 | Queue Length - 0 | Clock Time - 32
[INTERNAL] | Global Time - 01:43:14.757894 | No Messages Sent | Clock Time - 33
[MESSAGE RECEIVED] | Global Time - 01:43:15.095832 | Queue Length - 0 | Clock Time - 38
[INTERNAL] | Global Time - 01:43:15.434849 | No Messages Sent | Clock Time - 39
[MESSAGE RECEIVED] | Global Time - 01:43:15.769482 | Queue Length - 0 | Clock Time - 41
[MESSAGE RECEIVED] | Global Time - 01:43:16.107525 | Queue Length - 0 | Clock Time - 44
[INTERNAL] | Global Time - 01:43:16.444426 | No Messages Sent | Clock Time - 45
[MESSAGE(S) SENT] | Global Time - 01:43:16.782805 | Receiver(s) - [0] | Clock Time - 46
[MESSAGE(S) SENT] | Global Time - 01:43:17.121855 | Receiver(s) - [0] | Clock Time - 47
[INTERNAL] | Global Time - 01:43:17.459077 | No Messages Sent | Clock Time - 48
[INTERNAL] | Global Time - 01:43:17.797449 | No Messages Sent | Clock Time - 49
[MESSAGE RECEIVED] | Global Time - 01:43:18.135450 | Queue Length - 0 | Clock Time - 56
[INTERNAL] | Global Time - 01:43:18.474360 | No Messages Sent | Clock Time - 57
[MESSAGE(S) SENT] | Global Time - 01:43:18.812153 | Receiver(s) - [1] | Clock Time - 58
[MESSAGE RECEIVED] | Global Time - 01:43:19.149386 | Queue Length - 0 | Clock Time - 62
[INTERNAL] | Global Time - 01:43:19.489147 | No Messages Sent | Clock Time - 63
[MESSAGE RECEIVED] | Global Time - 01:43:19.828414 | Queue Length - 0 | Clock Time - 66
[MESSAGE RECEIVED] | Global Time - 01:43:20.166102 | Queue Length - 0 | Clock Time - 67
[INTERNAL] | Global Time - 01:43:20.503018 | No Messages Sent | Clock Time - 68
[INTERNAL] | Global Time - 01:43:20.841784 | No Messages Sent | Clock Time - 69
[INTERNAL] | Global Time - 01:43:21.178361 | No Messages Sent | Clock Time - 70
[INTERNAL] | Global Time - 01:43:21.517192 | No Messages Sent | Clock Time - 71
[INTERNAL] | Global Time - 01:43:21.853824 | No Messages Sent | Clock Time - 72
[MESSAGE RECEIVED] | Global Time - 01:43:22.193520 | Queue Length - 0 | Clock Time - 78
[MESSAGE(S) SENT] | Global Time - 01:43:22.532215 | Receiver(s) - [0] | Clock Time - 79
[INTERNAL] | Global Time - 01:43:22.870523 | No Messages Sent | Clock Time - 80
[MESSAGE RECEIVED] | Global Time - 01:43:23.209070 | Queue Length - 0 | Clock Time - 84
[INTERNAL] | Global Time - 01:43:23.549466 | No Messages Sent | Clock Time - 85
[MESSAGE RECEIVED] | Global Time - 01:43:23.885216 | Queue Length - 0 | Clock Time - 88
[MESSAGE(S) SENT] | Global Time - 01:43:24.225425 | Receiver(s) - [1] | Clock Time - 89
[INTERNAL] | Global Time - 01:43:24.565385 | No Messages Sent | Clock Time - 90
[INTERNAL] | Global Time - 01:43:24.902987 | No Messages Sent | Clock Time - 91
[MESSAGE RECEIVED] | Global Time - 01:43:25.241509 | Queue Length - 0 | Clock Time - 97
[MESSAGE RECEIVED] | Global Time - 01:43:25.581768 | Queue Length - 0 | Clock Time - 98
[INTERNAL] | Global Time - 01:43:25.921193 | No Messages Sent | Clock Time - 99
[MESSAGE RECEIVED] | Global Time - 01:43:26.260665 | Queue Length - 0 | Clock Time - 102
[INTERNAL] | Global Time - 01:43:26.599649 | No Messages Sent | Clock Time - 103
[MESSAGE RECEIVED] | Global Time - 01:43:26.938058 | Queue Length - 0 | Clock Time - 107
[INTERNAL] | Global Time - 01:43:27.275000 | No Messages Sent | Clock Time - 108
[INTERNAL] | Global Time - 01:43:27.614479 | No Messages Sent | Clock Time - 109
[MESSAGE(S) SENT] | Global Time - 01:43:27.952505 | Receiver(s) - [0, 1] | Clock Time - 110
[INTERNAL] | Global Time - 01:43:28.289485 | No Messages Sent | Clock Time - 111
[MESSAGE RECEIVED] | Global Time - 01:43:28.627198 | Queue Length - 0 | Clock Time - 116
